mall_name,mall_address,mall_contact_no,image_link,mall_link,fb_link,geocode,latitude,longitude,formatted_address,province
Robinsons Place Antipolo,"Sumulong cor. Circumferential Road, Brgy. Dela Paz, Antipolo City",(02) 8942-2640,http://www.robinsonsmalls.com/image.jsp?id=1213,http://www.robinsonsmalls.com/mall-info/robinsons-place-antipolo,www.facebook.com/RobPlaceAntipolo,"{'address_components': [{'long_name': 'L. Sumulong Memorial Circle', 'short_name': 'L. Sumulong Memorial Circle', 'types': ['route']}, {'long_name': 'Antipolo', 'short_name': 'Antipolo', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'Metro Manila', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '1870', 'short_name': '1870', 'types': ['postal_code']}], 'formatted_address': 'Sumulong Highway, L. Sumulong Memorial Circle, Antipolo, 1870 Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.5952435, 'lng': 121.1725608}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.5965924802915, 'lng': 121.1739097802915}, 'southwest': {'lat': 14.5938945197085, 'lng': 121.1712118197085}}}, 'place_id': 'ChIJnbr8HU2_lzMRZVUPqTM0gXY', 'plus_code': {'compound_code': 'H5WF+32 Antipolo, Rizal, Philippines', 'global_code': '7Q63H5WF+32'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",14.5952435,121.1725608,"Sumulong Highway, L. Sumulong Memorial Circle, Antipolo, 1870 Metro Manila, Philippines",Metro Manila
Robinsons Starmills,"Brgy. San Jose City of San Fernando, Pampanga",(045)  403-9764 to 66,,http://www.robinsonsmalls.com/mall-info/robinsons-starmills,www.facebook.com/RobStarmillsPampanga,"{'address_components': [{'long_name': 'San Fernando', 'short_name': 'San Fernando', 'types': ['locality', 'political']}, {'long_name': 'Pampanga', 'short_name': 'Pampanga', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Luzon', 'short_name': 'Central Luzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'San Fernando, Pampanga, Philippines', 'geometry': {'location': {'lat': 15.049575, 'lng': 120.6974506}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 15.0509239802915, 'lng': 120.6987995802915}, 'southwest': {'lat': 15.0482260197085, 'lng': 120.6961016197085}}}, 'place_id': 'ChIJjZZsVkL3ljMR0Yt-LdzCXVA', 'plus_code': {'compound_code': '2MXW+RX San Fernando, Pampanga, Philippines', 'global_code': '7Q722MXW+RX'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",15.049575,120.6974506,"San Fernando, Pampanga, Philippines",Pampanga
Robinsons Place Malolos,"Mac Arthur Highway, Sumapang Matanda Malolos City, Bulacan",(044) 794 - 4925 | (044) 794-4929,http://www.robinsonsmalls.com/image.jsp?id=1233,http://www.robinsonsmalls.com/mall-info/robinsons-place-malolos,www.facebook.com/RobPlaceMalolos,"{'address_components': [{'long_name': 'MacArthur Highway', 'short_name': 'MacArthur Highway', 'types': ['route']}, {'long_name': 'Malolos', 'short_name': 'Malolos', 'types': ['locality', 'political']}, {'long_name': 'Bulacan', 'short_name': 'Bulacan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Luzon', 'short_name': 'Central Luzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'MacArthur Highway, Malolos, Bulacan, Philippines', 'geometry': {'location': {'lat': 14.8503859, 'lng': 120.8239235}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.8517348802915, 'lng': 120.8252724802915}, 'southwest': {'lat': 14.8490369197085, 'lng': 120.8225745197085}}}, 'partial_match': True, 'place_id': 'ChIJIVhOniZTljMRdacLr6Lfavc', 'plus_code': {'compound_code': 'VR2F+5H Malolos, Bulacan, Philippines', 'global_code': '7Q62VR2F+5H'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",14.8503859,120.8239235,"MacArthur Highway, Malolos, Bulacan, Philippines",Bulacan
Robinsons Angeles,"McArthur Highway, Balibago, Angeles City, Pampanga",892-2273,,http://www.robinsonsmalls.com/mall-info/robinsons-angeles,www.facebook.com/RobinsonsAngeles,"{'address_components': [{'long_name': '192', 'short_name': '192', 'types': ['street_number']}, {'long_name': 'MacArthur Highway', 'short_name': 'MacArthur Highway', 'types': ['route']}, {'long_name': 'Balibago', 'short_name': 'Balibago', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Angeles', 'short_name': 'AC', 'types': ['locality', 'political']}, {'long_name': 'Pampanga', 'short_name': 'Pampanga', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Luzon', 'short_name': 'Central Luzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '2009', 'short_name': '2009', 'types': ['postal_code']}], 'formatted_address': '192 MacArthur Highway, Balibago, Angeles, 2009 Pampanga, Philippines', 'geometry': {'location': {'lat': 15.1602291, 'lng': 120.5913131}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 15.1615780802915, 'lng': 120.5926620802915}, 'southwest': {'lat': 15.1588801197085, 'lng': 120.5899641197085}}}, 'place_id': 'ChIJZVM133PyljMRfD9bSN5PCUo', 'plus_code': {'compound_code': '5H6R+3G Angeles, Pampanga, Philippines', 'global_code': '7Q725H6R+3G'}, 'types': ['establishment', 'lodging', 'point_of_interest']}",15.1602291,120.5913131,"192 MacArthur Highway, Balibago, Angeles, 2009 Pampanga, Philippines",Pampanga
Robinsons Place Pangasinan,"Mac Arthur Highway, Brgy. San Miguel, Calasiao, Pangasinan  ",632-0282 | 632-0211,http://www.robinsonsmalls.com/image.jsp?id=1237,http://www.robinsonsmalls.com/mall-info/robinsons-place-pangasinan,www.facebook.com/RobPlacePangasinan,"{'address_components': [{'long_name': 'Barangay San Miguel Road', 'short_name': 'Barangay San Miguel Rd', 'types': ['route']}, {'long_name': 'Calasiao', 'short_name': 'Calasiao', 'types': ['locality', 'political']}, {'long_name': 'Pangasinan', 'short_name': 'Pangasinan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ilocos Region', 'short_name': 'Ilocos Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Urdaneta–Dagupan Road, Barangay San Miguel Rd, Calasiao, Pangasinan, Philippines', 'geometry': {'location': {'lat': 16.0219811, 'lng': 120.3588191}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 16.0233300802915, 'lng': 120.3601680802915}, 'southwest': {'lat': 16.0206321197085, 'lng': 120.3574701197085}}}, 'partial_match': True, 'place_id': 'ChIJ2yq5ErlCkTMRw3s7A9fG0Qs', 'plus_code': {'compound_code': '29C5+QG Calasiao, Pangasinan, Philippines', 'global_code': '7Q8229C5+QG'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",16.0219811,120.3588191,"Urdaneta–Dagupan Road, Barangay San Miguel Rd, Calasiao, Pangasinan, Philippines",Pangasinan
Robinsons Luisita,"Mac Arthur Highway, Barangay San Miguel, Hacienda Luisita, Tarlac City",491-2035,,http://www.robinsonsmalls.com/mall-info/robinsons-luisita,www.facebook.com/RobLuisita,"{'address_components': [{'long_name': 'Tarlac City', 'short_name': 'Tarlac City', 'types': ['locality', 'political']}, {'long_name': 'Tarlac', 'short_name': 'Tarlac', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Luzon', 'short_name': 'Central Luzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'MacArthur Highway, Barangay San Miguel, Hacienda Luisita, Tarlac City, Tarlac, Philippines', 'geometry': {'location': {'lat': 15.4312977, 'lng': 120.5991715}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 15.4326466802915, 'lng': 120.6005204802915}, 'southwest': {'lat': 15.4299487197085, 'lng': 120.5978225197085}}}, 'place_id': 'ChIJv9OROpPHljMRXxzMEhQPw1Q', 'plus_code': {'compound_code': 'CHJX+GM Tarlac City, Tarlac, Philippines', 'global_code': '7Q72CHJX+GM'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",15.4312977,120.5991715,"MacArthur Highway, Barangay San Miguel, Hacienda Luisita, Tarlac City, Tarlac, Philippines",Tarlac
Robinsons Place Santiago,"Maharlika Highway, Mabini, Santiago City, Isabela",323-1135 to 37,,http://www.robinsonsmalls.com/mall-info/robinsons-place-santiago,www.facebook.com/RobPlaceSantiago,"{'address_components': [{'long_name': 'Pan-Philippine Highway', 'short_name': 'Pan-Philippine Hwy', 'types': ['route']}, {'long_name': 'Santiago', 'short_name': 'Santiago', 'types': ['locality', 'political']}, {'long_name': 'Isabela', 'short_name': 'Isabela', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Cagayan Valley', 'short_name': 'Cagayan Valley', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Pan-Philippine Hwy, Santiago, Isabela, Philippines', 'geometry': {'location': {'lat': 16.6960154, 'lng': 121.5610291}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 16.6973643802915, 'lng': 121.5623780802915}, 'southwest': {'lat': 16.6946664197085, 'lng': 121.5596801197085}}}, 'place_id': 'ChIJWXUCbD0GkDMRnXlhJhncz5U', 'plus_code': {'compound_code': 'MHW6+CC Santiago, Isabela, Philippines', 'global_code': '7Q83MHW6+CC'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",16.6960154,121.5610291,"Pan-Philippine Hwy, Santiago, Isabela, Philippines",Isabela
Robinsons Place Ilocos,"Barangay 1 San Francisco, San Nicolas, Ilocos Norte",600-1031,http://www.robinsonsmalls.com/image.jsp?id=1225,http://www.robinsonsmalls.com/mall-info/robinsons-place-ilocos,www.facebook.com/RobPlaceIlocos,"{'address_components': [{'long_name': 'San Nicolas', 'short_name': 'San Nicolas', 'types': ['locality', 'political']}, {'long_name': 'Ilocos Norte', 'short_name': 'Ilocos Norte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ilocos Region', 'short_name': 'Ilocos Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Barangay 1 San Francisco, San Nicolas, Ilocos Norte, Philippines', 'geometry': {'location': {'lat': 18.1798657, 'lng': 120.5926892}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 18.1812146802915, 'lng': 120.5940381802915}, 'southwest': {'lat': 18.1785167197085, 'lng': 120.5913402197085}}}, 'place_id': 'ChIJR68PdxnHjjMRGKnaQZPKEXU', 'plus_code': {'compound_code': '5HHV+W3 Laoag City, Ilocos Norte, Philippines', 'global_code': '7QC25HHV+W3'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",18.1798657,120.5926892,"Barangay 1 San Francisco, San Nicolas, Ilocos Norte, Philippines",Ilocos Norte
Robinsons Sta Rosa,"Old National Highway, Barangay Tagapo, Santa Rosa, Laguna",837-1025,,http://www.robinsonsmalls.com/mall-info/robinsons-sta-rosa,www.facebook.com/RobinsonsStaRosa,"{'address_components': [{'long_name': 'Old National Highway', 'short_name': 'Old National Highway', 'types': ['route']}, {'long_name': 'Santa Rosa', 'short_name': 'Sta. Rosa', 'types': ['locality', 'political']}, {'long_name': 'Laguna', 'short_name': 'Laguna', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Calabarzon', 'short_name': 'Calabarzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Old National Highway, Santa Rosa, Laguna, Philippines', 'geometry': {'location': {'lat': 14.3192454, 'lng': 121.0966589}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.3205943802915, 'lng': 121.0980078802915}, 'southwest': {'lat': 14.3178964197085, 'lng': 121.0953099197085}}}, 'place_id': 'ChIJK1BlosbZlzMRsDfhEgpkFQo', 'plus_code': {'compound_code': '839W+MM Santa Rosa, Laguna, Philippines', 'global_code': '7Q63839W+MM'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",14.3192454,121.0966589,"Old National Highway, Santa Rosa, Laguna, Philippines",Laguna
Robinsons Place Dasmariñas,"Gen. E Aguinaldo Highway corner Governor's Drive, Sitio Palapala, Dasmarinas, Cavite",(046) 435-0850,,http://www.robinsonsmalls.com/mall-info/robinsons-place-dasmarinas,www.facebook.com/RobPlaceDasmarinas,"{'address_components': [{'long_name': 'corner', 'short_name': 'corner', 'types': ['street_number']}, {'long_name': ""Governor's Drive"", 'short_name': ""Governor's Dr"", 'types': ['route']}, {'long_name': 'Sitio Palapala', 'short_name': 'Sitio Palapala', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dasmariñas', 'short_name': 'Dasmariñas', 'types': ['locality', 'political']}, {'long_name': 'Cavite', 'short_name': 'Cavite', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Calabarzon', 'short_name': 'Calabarzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '4114', 'short_name': '4114', 'types': ['postal_code']}], 'formatted_address': ""Emilio Aguinaldo Highway, corner Governor's Dr, Sitio Palapala, Dasmariñas, 4114 Cavite, Philippines"", 'geometry': {'location': {'lat': 14.3007891, 'lng': 120.9534702}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 14.3021380802915, 'lng': 120.9548191802915}, 'southwest': {'lat': 14.2994401197085, 'lng': 120.9521212197085}}}, 'place_id': 'ChIJPyz1WpfVlzMRnJpABnvxxc4', 'plus_code': {'compound_code': '8X23+89 Dasmariñas, Cavite, Philippines', 'global_code': '7Q628X23+89'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",14.3007891,120.9534702,"Emilio Aguinaldo Highway, corner Governor's Dr, Sitio Palapala, Dasmariñas, 4114 Cavite, Philippines",Cavite
Robinsons Place Imus,"Gen. E.  Aguinaldo Highway, Imus, Cavite ",(046) 875-2263,,http://www.robinsonsmalls.com/mall-info/robinsons-place-imus,www.facebook.com/RobPlaceImus,"{'address_components': [{'long_name': 'Emilio Aguinaldo Highway', 'short_name': 'Emilio Aguinaldo Hwy', 'types': ['route']}, {'long_name': 'Imus', 'short_name': 'Imus', 'types': ['locality', 'political']}, {'long_name': 'Cavite', 'short_name': 'Cavite', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Calabarzon', 'short_name': 'Calabarzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '4103', 'short_name': '4103', 'types': ['postal_code']}], 'formatted_address': 'Emilio Aguinaldo Hwy, Imus, 4103 Cavite, Philippines', 'geometry': {'location': {'lat': 14.412979, 'lng': 120.9417939}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.4143279802915, 'lng': 120.9431428802915}, 'southwest': {'lat': 14.4116300197085, 'lng': 120.9404449197085}}}, 'place_id': 'ChIJM51jb__SlzMRnklOKnov1uw', 'plus_code': {'compound_code': 'CW7R+5P Imus, Cavite, Philippines', 'global_code': '7Q62CW7R+5P'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",14.412979,120.9417939,"Emilio Aguinaldo Hwy, Imus, 4103 Cavite, Philippines",Cavite
Robinsons Place Lipa,"JP Laurel, National Highway, Mataas na Lupa, Lipa City",(043) 312-2084,,http://www.robinsonsmalls.com/mall-info/robinsons-place-lipa,www.facebook.com/RobPlaceLipa,"{'address_components': [{'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': 'Lipa', 'short_name': 'Lipa', 'types': ['locality', 'political']}, {'long_name': 'Batangas', 'short_name': 'Batangas', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Calabarzon', 'short_name': 'Calabarzon', 'types': ['administrative_area_level_1', 'political']}], 'formatted_address': 'Level 1, Robinsons Place Lipa, J.P. Laurel, Nat’l Highway, Mataas na Lupa, Lipa City, 4217, Batangas, Lipa, Batangas, Philippines', 'geometry': {'location': {'lat': 13.9427287, 'lng': 121.1505622}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 13.9440776802915, 'lng': 121.1519111802915}, 'southwest': {'lat': 13.9413797197085, 'lng': 121.1492132197085}}}, 'place_id': 'ChIJ7Vn5HL9svTMRtpQzBGf1R3w', 'plus_code': {'compound_code': 'W5V2+36 Lipa, Batangas, Philippines', 'global_code': '7Q53W5V2+36'}, 'types': ['establishment', 'local_government_office', 'point_of_interest']}",13.9427287,121.1505622,"Level 1, Robinsons Place Lipa, J.P. Laurel, Nat’l Highway, Mataas na Lupa, Lipa City, 4217, Batangas, Lipa, Batangas, Philippines",Batangas
Robinsons Town Mall Los Baños,"Lopez Avenue, Los Baños, Laguna",(049) 827-0488,,http://www.robinsonsmalls.com/mall-info/robinsons-town-mall-los-banos,www.facebook.com/RTMLosBanos,"{'address_components': [{'long_name': 'Lopez Avenue', 'short_name': 'Lopez Ave', 'types': ['route']}, {'long_name': 'Los Baños', 'short_name': 'Los Baños', 'types': ['locality', 'political']}, {'long_name': 'Laguna', 'short_name': 'Laguna', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Calabarzon', 'short_name': 'Calabarzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Lopez Ave, Los Baños, Laguna, Philippines', 'geometry': {'location': {'lat': 14.1771871, 'lng': 121.2423852}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.1785360802915, 'lng': 121.2437341802915}, 'southwest': {'lat': 14.1758381197085, 'lng': 121.2410362197085}}}, 'place_id': 'ChIJvSzTBL9gvTMRH1jQS1V3Pbk', 'plus_code': {'compound_code': '56GR+VX Los Baños, Laguna, Philippines', 'global_code': '7Q6356GR+VX'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",14.1771871,121.2423852,"Lopez Ave, Los Baños, Laguna, Philippines",Laguna
Robinsons Tagaytay,"Tagaytay Nasugbu Road, Maharlika West, KM 58 Gen. E. Aguinaldo Highway, Tagaytay City",,,http://www.robinsonsmalls.com/mall-info/robinsons-tagaytay,www.facebook.com/RobinsonsTagaytay/,"{'address_components': [{'long_name': 'Tagaytay', 'short_name': 'Tagaytay', 'types': ['locality', 'political']}, {'long_name': 'Cavite', 'short_name': 'Cavite', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Calabarzon', 'short_name': 'Calabarzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '4120', 'short_name': '4120', 'types': ['postal_code']}], 'formatted_address': 'Km. 58 Gen. Aguinaldo Highway, Maharlika West,, Tagaytay, 4120 Cavite, Philippines', 'geometry': {'location': {'lat': 14.097558, 'lng': 120.942692}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.0989069802915, 'lng': 120.9440409802915}, 'southwest': {'lat': 14.0962090197085, 'lng': 120.9413430197085}}}, 'place_id': 'ChIJN1uvpN55vTMRUx3IBy4g6ro', 'plus_code': {'compound_code': '3WXV+23 Tagaytay, Cavite, Philippines', 'global_code': '7Q623WXV+23'}, 'types': ['bar', 'establishment', 'food', 'lodging', 'night_club', 'point_of_interest', 'restaurant']}",14.097558,120.942692,"Km. 58 Gen. Aguinaldo Highway, Maharlika West,, Tagaytay, 4120 Cavite, Philippines",Cavite
Robinsons Place Palawan,"National Highway, Barangay. San Manuel, Puerto Princesa City, Palawan",433-0884 | 433-0843,http://www.robinsonsmalls.com/image.jsp?id=1235,http://www.robinsonsmalls.com/mall-info/robinsons-place-palawan,www.facebook.com/RobPlacePalawan,"{'address_components': [{'long_name': 'Puerto Princesa', 'short_name': 'PPC', 'types': ['locality', 'political']}, {'long_name': 'Palawan', 'short_name': 'Palawan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'MIMAROPA', 'short_name': 'MIMAROPA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'National Highway Barangay, Puerto Princesa, Palawan, Philippines', 'geometry': {'location': {'lat': 9.7670357, 'lng': 118.7482247}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 9.7683846802915, 'lng': 118.7495736802915}, 'southwest': {'lat': 9.765686719708496, 'lng': 118.7468757197085}}}, 'place_id': 'ChIJIfvh03VjtTMRsuzJlWdVR_0', 'plus_code': {'compound_code': 'QP8X+R7 Barangay San Pedro, Puerto Princesa, Palawan, Philippines', 'global_code': '6PXWQP8X+R7'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",9.7670357,118.7482247,"National Highway Barangay, Puerto Princesa, Palawan, Philippines",Palawan
Robinsons Place Gen Trias,"A. Soriano Highway, EPZA-Bacao Diversion Road General Trias, Cavite",(046) 424-0062,,http://www.robinsonsmalls.com/mall-info/robinsons-place-gen-trias,www.facebook.com/RobPlaceGenTrias,"{'address_components': [{'long_name': 'EPZA-Bacao', 'short_name': 'EPZA-Bacao', 'types': ['establishment', 'point_of_interest']}, {'long_name': 'Diversion Road', 'short_name': 'Diversion Road', 'types': ['route']}, {'long_name': 'General Trias', 'short_name': 'General Trias', 'types': ['locality', 'political']}, {'long_name': 'Cavite', 'short_name': 'Cavite', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Calabarzon', 'short_name': 'Calabarzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'A. Soriano Highway, EPZA-Bacao, Diversion Road, General Trias, Cavite, Philippines', 'geometry': {'location': {'lat': 14.3965924, 'lng': 120.8649969}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.3979413802915, 'lng': 120.8663458802915}, 'southwest': {'lat': 14.3952434197085, 'lng': 120.8636479197085}}}, 'place_id': 'ChIJgfxPtpMsljMRvR9fZHSOlJA', 'plus_code': {'compound_code': '9VW7+JX General Trias, Cavite, Philippines', 'global_code': '7Q629VW7+JX'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",14.3965924,120.8649969,"A. Soriano Highway, EPZA-Bacao, Diversion Road, General Trias, Cavite, Philippines",Cavite
Robinsons Place Antique,"National Highway, Brgy.San Angel, San Jose de Buenavista, Antique",,,http://www.robinsonsmalls.com/mall-info/robinsons-place-antique,www.facebook.com/RobPlaceAntique,"{'address_components': [{'long_name': 'San Jose de Buenavista', 'short_name': 'San Jose de Buenavista', 'types': ['locality', 'political']}, {'long_name': 'Antique', 'short_name': 'Antique', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Western Visayas', 'short_name': 'Western Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'National Highway, Brgy, San Jose de Buenavista, Antique, Philippines', 'geometry': {'location': {'lat': 10.7353428, 'lng': 121.9517612}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 10.7366917802915, 'lng': 121.9531101802915}, 'southwest': {'lat': 10.7339938197085, 'lng': 121.9504122197085}}}, 'place_id': 'ChIJU2bLy0s4rjMR-XLHyelgdQk', 'plus_code': {'compound_code': 'PXP2+4P San Jose de Buenavista, Antique, Philippines', 'global_code': '7Q23PXP2+4P'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",10.7353428,121.9517612,"National Highway, Brgy, San Jose de Buenavista, Antique, Philippines",Antique
Robinsons Fuente,"Sta. Cruz, Fuente Osmeña Boulevard, Cebu City",255-5590 | 255-1143,,http://www.robinsonsmalls.com/mall-info/robinsons-fuente,www.facebook.com/RobFuenteOfficial,"{'address_components': [{'long_name': 'Sta. Cruz', 'short_name': 'Sta. Cruz', 'types': ['establishment', 'point_of_interest']}, {'long_name': 'Fuente Osmeña Circle', 'short_name': 'Fuente Osmeña Cir', 'types': ['route']}, {'long_name': 'Cebu City', 'short_name': 'Cebu City', 'types': ['locality', 'political']}, {'long_name': 'Cebu', 'short_name': 'Cebu', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Visayas', 'short_name': 'Central Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '6000', 'short_name': '6000', 'types': ['postal_code']}], 'formatted_address': 'Sta. Cruz, Fuente Osmeña Cir, Cebu City, 6000 Cebu, Philippines', 'geometry': {'location': {'lat': 10.3092477, 'lng': 123.8940779}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 10.3105966802915, 'lng': 123.8954268802915}, 'southwest': {'lat': 10.3078987197085, 'lng': 123.8927289197085}}}, 'place_id': 'ChIJB5uWUk6ZqTMRr0lOEKGheTg', 'plus_code': {'compound_code': '8V5V+MJ Cebu City, Cebu, Philippines', 'global_code': '7Q258V5V+MJ'}, 'types': ['department_store', 'establishment', 'point_of_interest', 'store']}",10.3092477,123.8940779,"Sta. Cruz, Fuente Osmeña Cir, Cebu City, 6000 Cebu, Philippines",Cebu
Robinsons Galleria Cebu,"General Maxilom Avenue cor. Sergio Osmena Blvd., Brgy Tejero, Cebu City",(032) 231-5030,http://www.robinsonsmalls.com/image.jsp?id=19188,http://www.robinsonsmalls.com/mall-info/robinsons-galleria-cebu,www.facebook.com/RobinsonsGalleriaCebuOfficial,"{'address_components': [{'long_name': 'Cebu City', 'short_name': 'Cebu City', 'types': ['locality', 'political']}, {'long_name': 'Cebu', 'short_name': 'Cebu', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Visayas', 'short_name': 'Central Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '6000', 'short_name': '6000', 'types': ['postal_code']}], 'formatted_address': 'Level 1 Robinsons Galleria Cebu General Maxilom Avenue cor. Sergio Osmena Blvd.,, Cebu City, 6000 Cebu, Philippines', 'geometry': {'location': {'lat': 10.2979765, 'lng': 123.9071684}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 10.2993254802915, 'lng': 123.9085173802915}, 'southwest': {'lat': 10.2966275197085, 'lng': 123.9058194197085}}}, 'place_id': 'ChIJ_XJuz1-ZqTMR2J91-qucFEw', 'plus_code': {'compound_code': '7WX4+5V Cebu City, Cebu, Philippines', 'global_code': '7Q257WX4+5V'}, 'types': ['clothing_store', 'establishment', 'point_of_interest', 'store']}",10.2979765,123.9071684,"Level 1 Robinsons Galleria Cebu General Maxilom Avenue cor. Sergio Osmena Blvd.,, Cebu City, 6000 Cebu, Philippines",Cebu
